id,severity,scope,file,line,section_ref,title,description,recommendation,status
SBS-001,high,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/config/SecurityConfiguration.kt,104,CSRF Protection,CSRF disabled without inline justification comment,".csrf { it.disable() } is correct for a stateless Bearer-token API but the rationale is not documented adjacent to the call. A future reviewer cannot confirm no endpoint relies on a session cookie for auth without tracing the whole filter chain.",Add an inline comment on line 104 stating that CSRF is safely disabled because SessionCreationPolicy.STATELESS is set and all auth is via Bearer JWT with no session cookies.,fixed
SBS-002,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/config/SecurityConfiguration.kt,102,CORS Configuration,No explicit CORS configuration -- Spring Boot implicit default,"No CorsConfigurationSource bean is defined and http.cors() is not called. Spring Boot applies its default deny-all CORS policy which is safe today but is untestable and undocumented. Any future @CrossOrigin annotation on a controller could silently open unintended origins without a centralised review point.","Define an explicit CorsConfigurationSource bean with allowedOrigins bound to \${PLUGWERK_BASE_URL}. Wire it into SecurityFilterChain with http.cors { it.configurationSource(corsConfigurationSource()) }.",fixed
SBS-003,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/config/SecurityConfiguration.kt,71,Secrets Management,AES-128 encryption key only -- no documented upgrade path to AES-256,"Spring Encryptors.text() with a 16-character key uses AES-128-CBC. The @Size(min=16 max=16) constraint in AuthProperties hard-codes 16 chars and would reject a 32-char key preventing an in-place upgrade to AES-256. The design choice is not documented.","Relax the @Size constraint to accept 16 or 32 chars. Document the AES-128 choice in an ADR or inline comment. Mark upgrade to AES-256 as a Phase-3 hardening item.",fixed
SBS-004,high,backend,plugwerk-server/plugwerk-server-backend/src/main/resources/application.yml,80,Authorization,/actuator/info and /actuator/prometheus require only authentication -- no privileged role enforced,"management.endpoints.web.exposure.include = health,info,prometheus. /actuator/health is explicitly permitAll. /actuator/info and /actuator/prometheus are not explicitly role-restricted and fall through to anyRequest().authenticated(). Any authenticated namespace member can retrieve Prometheus metrics and server build info.",Add explicit requestMatchers for /actuator/info and /actuator/prometheus in SecurityConfiguration requiring a superadmin role or a dedicated METRICS authority.,fixed
SBS-005,high,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/security/LoginRateLimitFilter.kt,49,Rate Limiting,Rate limiting covers only POST /api/v1/auth/login -- change-password endpoint is unprotected,"shouldNotFilter() returns true for all URIs except exactly /api/v1/auth/login. POST /api/v1/auth/change-password accepts the current plaintext password as a credential and is not rate-limited. An attacker who has obtained a valid token can send unlimited change-password requests to brute-force the current password.","Extend the rate-limit path list to include /api/v1/auth/change-password. Make the protected path set configurable in PlugwerkProperties.RateLimitProperties.",fixed
SBS-006,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/security/LoginRateLimitFilter.kt,80,Rate Limiting,X-Forwarded-For accepted without proxy trust validation -- trivial IP-spoofing bypasses rate limit,"resolveClientIp() reads the leftmost X-Forwarded-For value unconditionally regardless of whether the request came through a trusted proxy. A client can forge X-Forwarded-For: 1.2.3.4 and rotate forged IPs to bypass per-IP rate limit buckets entirely.","Accept X-Forwarded-For only when remoteAddr is a member of a configurable trusted-proxy CIDR list (e.g. PLUGWERK_TRUSTED_PROXY_CIDRS). Fall back to remoteAddr when no trusted proxy is configured.",open
SBS-007,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/security/LoginRateLimitService.kt,47,Rate Limiting,In-memory rate-limit state is node-local -- multi-replica deployments multiply the effective limit,"LoginRateLimitService uses a JVM-local Caffeine cache. In a horizontally-scaled deployment with N replicas an attacker gets maxAttempts * N login attempts before any single replica blocks them.","Document that the current implementation is single-node only. Provide an optional Redis-backed Bucket4j ProxyManager configuration (activated by a PLUGWERK_RATE_LIMIT_BACKEND=redis property) for multi-replica deployments.",open
SBS-008,high,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/security/NamespaceAccessKeyAuthFilter.kt,56,Authentication,Access key prefix lookup leaks timing side-channel -- valid prefixes are detectable by response latency,"findByKeyPrefixAndRevokedFalse(prefix) issues a SQL SELECT before the constant-time passwordEncoder.matches() call. The DB round-trip timing differs between a hit (rows returned) and a miss (empty result). An attacker can enumerate valid 8-char prefixes by measuring HTTP response latency from outside the network.","Replace the prefix-column approach with a full keyed-hash approach: store HMAC-SHA256(serverSideSecret, fullKey) in a dedicated hash column indexed for equality. Perform a single lookup by hash with no timing difference between found and not-found.",fixed
SBS-009,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/security/DelegatingJwtDecoder.kt,60,Authentication,OIDC decoder fallback failures are silently swallowed -- no per-decoder audit trail,"runCatching { decoder.decode(token) }.onSuccess { return it } suppresses each OIDC decoder exception without logging. A JWKS key rotation by an external provider will cause silent decode failures with no observable signal until users report authentication errors.","Log each OIDC decoder failure at warn level including the decoder index or provider type and the exception message (never the raw token) before falling through to the next decoder.",open
SBS-010,high,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/security/OidcProviderRegistry.kt,83,Authorization,GitHub OIDC decoder built without audience validation -- any GitHub Actions token is accepted,"NimbusJwtDecoder.withJwkSetUri(GitHub JWKS URI).build() validates the signature but does not restrict the aud claim. GitHub Actions OIDC tokens carry an aud identifying the intended recipient. Without audience validation a token minted for a completely different workflow or repository is accepted as a valid Plugwerk credential.","After building the NimbusJwtDecoder for GitHub configure a DelegatingOAuth2TokenValidator including JwtTimestampValidator and a JwtClaimValidator for the aud claim matching the expected Plugwerk server base URL or a dedicated audience value.",fixed
