id,severity,scope,file,line,section_ref,title,description,recommendation,status
RC-001,low,frontend,src/shims/url.ts,1,knip-dead-files,Knip false-positive: url shim is not dead,knip flags src/shims/url.ts as unused but vite.config.ts maps the Node built-in 'url' module to this file via resolve.alias so all generated API files (common.ts and every *-api.ts) resolve correctly in the browser. The file is load-bearing.,No action needed. Add a comment in the shim referencing vite.config.ts so future knip runs are easier to triage.,new
RC-002,info,frontend,src/api/generated/api.ts,1,knip-dead-files,Codegen barrel — confirmed unused at runtime,src/api/generated/api.ts is a flat re-export barrel emitted by openapi-generator. The application imports directly from the granular api/* files (config.ts lines 21-32). The barrel is never imported.,Safe to delete the generated barrel if the codegen template is updated to not emit it. Do not hand-delete; the next code-gen run will recreate it anyway. Document in the code-gen script.,new
RC-003,info,frontend,src/api/generated/index.ts,1,knip-dead-files,Codegen index barrel — confirmed unused at runtime,src/api/generated/index.ts re-exports the barrel and model index. No non-generated file imports from it. Same cause as RC-002.,Same recommendation as RC-002 — update code-gen template.,new
RC-004,info,frontend,src/api/generated/api/server-config-api.ts,1,knip-dead-files,Codegen server-config API class — no frontend consumer,The ServerConfigApi class is generated but never imported outside generated code. The /api/v1/config endpoint is consumed via the handwritten ConfigController on the backend; the frontend reads config on boot via its own fetch. No frontend store or component imports this file.,Info-only. If a future feature requires reading server config from the frontend this class is ready. Otherwise consider disabling server-config in the openapi-generator input spec.,new
RC-005,medium,frontend,src/components/plugin-detail/DetailSidebar.tsx,1,knip-dead-files,DetailSidebar component unreachable — dead file,knip correctly flags DetailSidebar.tsx as unused. Searching all non-generated .tsx/.ts files confirms zero imports of DetailSidebar. The component was likely superseded during the namespace-detail redesign (commits 577f7d4 / 295d9b9).,Delete the file. It carries no test coverage and is not part of any route or dynamic import chain.,new
RC-006,low,frontend,src/api/config.ts,100,knip-unused-exports,updatesApi export has no non-test consumer,updatesApi is exported at line 100 of config.ts but appears only in test mocks (pluginStore.test.ts:32; TopBar.test.tsx:40; FilterBar.test.tsx:34; CatalogPage.test.tsx:39) as a mock shape and never imported for actual API calls. The updates feature appears unimplemented.,Either remove the export and the UpdatesApi import if the updates feature is deferred post-beta.1; or add a tracking issue. Do not leave a dangling export pointing at a real API class.,new
RC-007,low,frontend,package.json,25,knip-unused-deps,@mui/icons-material is an unused dependency,knip confirms @mui/icons-material (line 25 of package.json) has no import in the frontend source tree. Icon needs are met by lucide-react (Globe; Upload; Activity; ExternalLink etc.). The package adds ~5 MB to node_modules.,Remove from dependencies: pnpm remove @mui/icons-material,new
RC-008,medium,frontend,src/pages/AdminSettingsPage.tsx,23,dead-code,Re-export barrel in AdminSettingsPage is dead,Lines 23-26 re-export GeneralSection; UsersSection; OidcProvidersSection; ReviewsSection from the individual files. The router (src/router/index.tsx lines 43-60) uses lazy dynamic imports directly from the sub-files and never imports through AdminSettingsPage. These re-exports are the source of the knip 'unused export' findings for all four section components.,Remove lines 23-26. The sections remain importable directly from their source files for any future consumer.,new
RC-009,low,frontend,src/utils/timezones.ts,135,knip-unused-exports,computeOffset is exported but never called,knip flags computeOffset (line 135 of timezones.ts) as an unused export. Grep across all non-generated non-test .ts/.tsx files confirms zero call sites. The function computes a UTC offset string for display purposes but TimezoneSelect and Timestamp both use the timezone identifier directly.,Remove the export or make it unexported (drop the export keyword) until a consumer exists.,new
RC-010,low,frontend,src/utils/formatDateTime.ts,20,knip-unused-exports,FormatOptions interface exported but never imported by name,knip flags the FormatOptions type as unused. All callers (PluginCard.tsx; PluginListRow.tsx; Timestamp.tsx) pass inline object literals to formatDateTime without importing FormatOptions. The interface is structurally satisfied but never named.,Either remove the export keyword (keep as internal type) or suppress with a knip config entry if the public API intent is deliberate.,new
RC-011,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/settings/SettingKey.kt,112,duplication,validate() body duplicated verbatim in UserSettingKey,SettingKey.validate() (lines 112-144) and UserSettingKey.validate() (lines 75-93) implement the same SettingValueType dispatch (STRING / INTEGER / BOOLEAN / ENUM) with near-identical code. Any change to validation rules (e.g. adding a new SettingValueType) must be applied in both files.,Extract a top-level fun validateSettingValue(valueType: SettingValueType; rawValue: String; allowedValues: Set<String>?; minInt: Int?; maxInt: Int?): String? in a shared file (e.g. SettingValidation.kt) and delegate from both enums.,new
RC-012,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/settings/UserSettingKey.kt,26,duplication,validateTimezoneOrEmpty duplicates validateTimezone logic from SettingKey.kt,SettingKey.kt defines private fun validateTimezone() (lines 29-34) and UserSettingKey.kt defines private fun validateTimezoneOrEmpty() (lines 26-34). Both wrap ZoneId.of() in a try-catch. The only difference is the empty-string fast-path in the user variant.,Consolidate into a single internal fun validateIanaTimezone(rawValue: String; allowEmpty: Boolean = false): String? in a shared SettingValidation.kt.,new
RC-013,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/controller/CatalogController.kt,166,duplication,Client IP extraction duplicated across LoginRateLimitFilter and CatalogController,LoginRateLimitFilter.resolveClientIp() (lines 79-85) and the inline snippet in CatalogController.downloadRelease() (lines 166-169) implement the same X-Forwarded-For / remoteAddr fallback pattern. The controller version is a one-liner and subtly different: it uses firstOrNull instead of first.,Extract an extension fun HttpServletRequest.resolveClientIp(): String into a shared RequestUtils.kt. Both call sites use the same utility.,new
RC-014,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/PluginService.kt,282,duplication,Visibility filter logic duplicated between findPagedByNamespace and findDistinctTags,PluginService.findPagedByNamespace() (lines 122-135) and findDistinctTags() (lines 282-294) each contain a when(visibility) block with identical PUBLIC / AUTHENTICATED / ADMIN predicate logic but the AUTHENTICATED branch in findDistinctTags omits the draft-only check. This divergence is a latent inconsistency.,Extract a private fun visibilityPredicate(visibility: CatalogVisibility; pluginIdsWithPublishedRelease: Set<UUID>; draftOnlyPluginIds: Set<UUID>): (PluginEntity) -> Boolean and reuse it in both callers.,new
