id,severity,scope,file,line,section_ref,title,description,recommendation,status
KT-001,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/PluginService.kt,84-193,rules/kotlin/coding-style.md,findPagedByNamespace function exceeds 50-line limit (110 lines),"findPagedByNamespace is 110 lines long and performs in-memory filtering, sorting, version-constraint matching, and pagination all within a single function body. This makes the function hard to test in isolation and violates the single-responsibility guideline.","Extract visibility filtering, tag/full-text filtering, version filtering, and in-memory sorting into private helper functions each under 50 lines.",new
KT-002,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/PluginService.kt,108-163,rules/kotlin/coding-style.md,findLatestPublishedReleasesForPlugins queried twice in findPagedByNamespace,"findLatestPublishedReleasesForPlugins is called once at line 108 to build pluginIdsWithPublishedRelease and again at line 156 inside the version-filter branch. The second call re-fetches the same data from the database unnecessarily.","Compute latestReleases once outside the version-filter branch and derive pluginIdsWithPublishedRelease from it rather than issuing a second database query.",new
KT-003,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/PluginService.kt,117,rules/kotlin/coding-style.md#null-safety,Non-null assertion on namespace.id inside findPagedByNamespace,"Asserting namespace.id non-null will throw NullPointerException if the namespace entity has a null ID. The surrounding code already uses mapNotNull on plugin IDs, so the asymmetry is surprising and the failure mode is a generic NPE with no context.","Replace the non-null assertion with requireNotNull(namespace.id) and a meaningful error message.",new
KT-004,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/controller/CatalogController.kt,218-228,rules/kotlin/coding-style.md#error-handling,Broad catch(Exception) used for control flow in resolveVisibility,"CatalogController.resolveVisibility uses two consecutive try/catch(Exception) blocks to probe role membership by catching ForbiddenException as a control-flow signal. Catching the broad Exception type may swallow unexpected runtime errors such as database connectivity failures, silently downgrading the caller to PUBLIC visibility instead of surfacing the error.","Use a dedicated boolean helper on NamespaceAuthorizationService such as hasRole that returns true/false without throwing, replacing exception-driven control flow.",new
KT-005,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/controller/ManagementController.kt,57-67,rules/kotlin/coding-style.md#null-safety,Non-null assertion on SecurityContextHolder authentication in ManagementController,"SecurityContextHolder.getContext().authentication is asserted non-null in every ManagementController handler without a prior null check. Other controllers such as NamespaceController explicitly check for null and throw UnauthorizedException, making this inconsistent.","Replace the non-null assertion with requireNotNull or a shared helper that returns UnauthorizedException when null, consistent with NamespaceController.",new
KT-006,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/controller/ReviewsController.kt,68,rules/kotlin/coding-style.md#null-safety,Non-null assertion on authentication in ReviewsController without null guard,"ReviewsController asserts authentication non-null in approveRelease and rejectRelease without a null guard. The inconsistency with NamespaceController which does check for null creates a maintenance trap if auth is ever null in a future filter-chain change.","Add a shared AuthHelper.requireAuthentication() that converts null auth to UnauthorizedException consistently across all controllers.",new
KT-007,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/controller/AccessKeyController.kt,47,rules/kotlin/coding-style.md#null-safety,Non-null assertion on authentication duplicated across controller layer (7 occurrences),"Three controllers (ManagementController, ReviewsController, AccessKeyController) use SecurityContextHolder.getContext().authentication with non-null assertion without a null guard at least seven times across the codebase.","Centralise authentication extraction into a shared extension function such as SecurityContextHolder.requireAuthentication() that throws UnauthorizedException on null.",new
KT-008,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/UserService.kt,59,rules/kotlin/coding-style.md#null-safety,Non-null assertion on passwordEncoder.encode result repeated in UserService and AdminInitializationRunner,"passwordEncoder.encode(password) is non-null-asserted on lines 59, 72, and 93 of UserService and line 71 of AdminInitializationRunner. BCryptPasswordEncoder never returns null in practice but the assertion silences the compiler type checker. AccessKeyService.create already uses requireNotNull correctly.","Use requireNotNull(passwordEncoder.encode(password)) with a meaningful message consistently throughout the codebase.",new
KT-009,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/PluginReleaseService.kt,112,rules/kotlin/coding-style.md#null-safety,Non-null assertion on release.id inside downloadArtifact,"releaseRepository.incrementDownloadCount on release.id will throw NPE if the entity is in a detached state with a null ID, with no contextual error message about which release or what operation was in progress.","Replace the non-null assertion with requireNotNull(release.id) and a meaningful error message.",new
KT-010,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/storage/FilesystemArtifactStorageService.kt,43-46,rules/kotlin/coding-style.md#error-handling,Broad catch(Exception) in storage methods swallows unexpected non-IO errors,"All three storage methods catch the root Exception type to wrap it in ArtifactStorageException. Catching Exception also catches ClassCastException, OutOfMemoryError parent hierarchy, and other unrelated failures, making root-cause diagnosis harder.","Catch java.io.IOException specifically which covers all file I/O failures and let other unchecked exceptions propagate naturally.",new
KT-011,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/NamespaceService.kt,97-110,rules/kotlin/coding-style.md#error-handling,Broad catch(Exception) in deleteStorageArtifacts swallows non-IO errors,"The catch block in deleteStorageArtifacts catches all Exception types. A programming error inside storageService.delete such as a NullPointerException would be logged as a warning and silently ignored rather than propagating as a service error.","Narrow the catch to IOException or ArtifactStorageException to ensure only expected storage failures are swallowed during namespace deletion.",new
KT-012,low,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/service/DownloadEventService.kt,90,rules/kotlin/coding-style.md#error-handling,Broad catch(Exception) in anonymizeIpAddress with fail-open privacy behaviour,"anonymizeIpAddress catches all Exception types and returns the original non-anonymised IP on failure. A bug in the IP parsing code would silently store raw IP addresses even when anonymisation is configured, violating the operator privacy expectation without any clear error signal.","Catch UnknownHostException specifically. If the fail-open behaviour is intentional document it explicitly and consider emitting a warning metric.",new
KT-013,medium,backend,plugwerk-server/plugwerk-server-backend/src/main/kotlin/io/plugwerk/server/config/AdminInitializationRunner.kt,79-93,rules/kotlin/coding-style.md,Plaintext initial admin password logged at INFO level via SLF4J,"AdminInitializationRunner logs the generated initial admin password at INFO level. INFO is commonly forwarded to centralised log aggregation (Datadog, ELK, CloudWatch) where it may be stored indefinitely. The password is visible to anyone with log-read access.","Log at WARN level with an explicit note that it is a one-time secret. Consider printing to stdout/stderr outside the logging framework to avoid log-aggregation forwarding.",new
