id,severity,scope,file,line,section_ref,title,description,recommendation,status
SEC-001,critical,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2025-24813 Tomcat RCE via partial PUT (CRITICAL CVSS 9.8),"tomcat-embed-core 10.1.12 is affected by CVE-2025-24813 (CVSS 9.8). Partial PUT + default servlet write enabled + file-based session persistence allows RCE. Fixed in 10.1.35. The generated pom.xml in the build artifact locks Tomcat to an old version via the Spring Boot 3.x BOM bundled with plugwerk-api-endpoint. The main server module uses Spring Boot 4.0.5 which should pull a newer Tomcat — verify the runtime version is >= 10.1.35 and purge the stale generated pom.xml from the repository.","1) Confirm the actual runtime Tomcat version shipped in the fat JAR is >= 10.1.35 via ./gradlew :plugwerk-server:plugwerk-server-backend:dependencies | grep tomcat-embed-core. 2) If the generated pom.xml is stale, exclude it from Trivy scans with a .trivyignore entry or add trivy:ignore comment. 3) If the API-endpoint module still pulls Spring Boot 3.x, upgrade its BOM dependency.",open
SEC-002,critical,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2026-29145 Tomcat CLIENT_CERT authentication bypass (CRITICAL CVSS 9.1),"tomcat-embed-core 10.1.12 is affected by CVE-2026-29145 (CVSS 9.1). CLIENT_CERT soft-fail misconfiguration allows authentication bypass. Fixed in 10.1.53. Same root cause as SEC-001: stale generated pom.xml from the plugwerk-api-endpoint module.","Upgrade plugwerk-api-endpoint module to use a Spring Boot BOM that resolves Tomcat >= 10.1.53. Confirm runtime Tomcat version; add .trivyignore for the generated pom.xml once confirmed runtime is safe.",open
SEC-003,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2023-6378 logback-core 1.4.11 DoS via receiver serialization (HIGH CVSS 7.1),"ch.qos.logback:logback-core 1.4.11 and logback-classic 1.4.11 are affected by CVE-2023-6378. A poisoned data payload sent to the logback receiver component can cause DoS. Fixed in logback 1.4.12 / 1.3.12. The stale generated pom.xml in plugwerk-api-endpoint pins logback to 1.4.11 via the old Spring Boot BOM.","Upgrade the plugwerk-api-endpoint BOM to Spring Boot >= 3.2.x (which includes logback >= 1.4.12). Verify the runtime server classpath does not include any 1.4.11 logback JARs.",open
SEC-004,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2024-50379 and CVE-2024-56337 Tomcat RCE via TOCTOU in JSP (HIGH CVSS 9.8 declared HIGH in Trivy),"tomcat-embed-core 10.1.12 is affected by both CVE-2024-50379 and CVE-2024-56337. TOCTOU race condition during JSP compilation on case-insensitive file systems (write-enabled default servlet, non-default config) allows RCE. Fixed in 10.1.34. Requires default servlet write to be enabled (non-default). Risk is low on Plugwerk because JSP and the default write servlet are not used, but the dependency version must still be updated.","Upgrade Tomcat to >= 10.1.34 (already done in the main server module via Spring Boot 4.0.5). Remediate the stale generated pom.xml in plugwerk-api-endpoint.",open
SEC-005,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2023-46589 Tomcat HTTP request smuggling via trailer headers (HIGH CVSS 7.5),"tomcat-embed-core 10.1.12 affected by CVE-2023-46589. Malformed HTTP trailer headers can cause Tomcat to parse a single request as multiple, enabling request smuggling behind a reverse proxy. Fixed in 10.1.16.","Upgrade Tomcat to >= 10.1.16 (covered by upgrading the api-endpoint BOM as per SEC-001).",open
SEC-006,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2024-34750 Tomcat HTTP/2 stream miscounting DoS (HIGH CVSS 7.5 / CVSSv4 8.7),"tomcat-embed-core 10.1.12 affected by CVE-2024-34750. Excessive HTTP/2 headers cause a stream miscounting bug, leading to connections remaining open indefinitely (DoS). Fixed in 10.1.25.","Upgrade Tomcat to >= 10.1.25 (covered by BOM upgrade per SEC-001).",open
SEC-007,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2025-48988 Tomcat multipart upload DoS (HIGH CVSS 7.5 / CVSSv4 8.7),"tomcat-embed-core 10.1.12 affected by CVE-2025-48988. Unbounded resource allocation in multipart upload handling leads to DoS. Fixed in 10.1.42.","Upgrade Tomcat to >= 10.1.42 (covered by BOM upgrade per SEC-001).",open
SEC-008,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2025-48989 Tomcat HTTP/2 MadeYouReset DoS (HIGH CVSS 7.5),"tomcat-embed-core 10.1.12 affected by CVE-2025-48989. Improper resource release on HTTP/2 control frames allows DoS (MadeYouReset). Fixed in 10.1.44.","Upgrade Tomcat to >= 10.1.44 (covered by BOM upgrade per SEC-001).",open
SEC-009,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2025-52520 Tomcat multipart upload integer overflow DoS (HIGH CVSS 7.5),"tomcat-embed-core 10.1.12 affected by CVE-2025-52520. Integer overflow allows bypass of multipart size limits leading to DoS. Fixed in 10.1.43.","Upgrade Tomcat to >= 10.1.43 (covered by BOM upgrade per SEC-001).",open
SEC-010,high,build,plugwerk-api/plugwerk-api-endpoint/build/generated/pom.xml,1,A06 - Vulnerable Components,CVE-2025-53506 Tomcat HTTP/2 uncontrolled resource consumption DoS (HIGH CVSS 7.5),"tomcat-embed-core 10.1.12 affected by CVE-2025-53506. If an HTTP/2 client does not acknowledge the initial settings frame, Tomcat consumes unbounded resources. Fixed in 10.1.43.","Upgrade Tomcat to >= 10.1.43 (covered by BOM upgrade per SEC-001).",open
