id,severity,scope,file,line,section_ref,title,description,recommendation,status
DB-001,high,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0001_initial_schema.yaml,1-279,liquibase/rollback,No rollback blocks on any changeSet in 0001,All five changeSets in 0001 (create-namespace create-plugin create-plugin-release create-namespace-access-key idx-access-key-prefix) are missing explicit rollback sections. Liquibase can auto-infer rollback for createTable and createIndex but this is implicit and environment-dependent. A mis-applied migration has no guaranteed rollback path.,Add explicit rollback sections to every changeSet. For createTable use <rollback><dropTable .../></rollback>. For createIndex use <rollback><dropIndex .../></rollback>.,open
DB-002,high,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0002_user_and_rbac.yaml,1-174,liquibase/rollback,No rollback blocks on any changeSet in 0002,All three changeSets (create-user create-namespace-member create-oidc-provider) are missing explicit rollback sections. Same risk as DB-001.,Add explicit rollback sections.,open
DB-003,high,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0003_download_event.yaml,1-63,liquibase/rollback,No rollback blocks on any changeSet in 0003,Three changeSets (create-download-event idx-download-event-release idx-download-event-downloaded-at) are missing explicit rollback sections.,Add explicit rollback sections.,open
DB-004,high,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0004_token_revocation.yaml,1-43,liquibase/rollback,No rollback blocks on any changeSet in 0004,The single changeSet (create-revoked-token including its inline createIndex) is missing an explicit rollback section.,Add explicit rollback section.,open
DB-005,high,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0005_application_settings.yaml,1-129,liquibase/rollback,No rollback blocks on any changeSet in 0005,Two changeSets (create-application-setting and seed-default-settings) are missing explicit rollback sections. The seed changeSet inserts seven rows — without a rollback block there is no way to cleanly undo those inserts if migration is rolled back.,For create-application-setting add dropTable rollback. For seed-default-settings add delete statements for each seeded key inside a rollback block.,open
DB-006,high,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0006_user_settings.yaml,1-50,liquibase/rollback,No rollback blocks on any changeSet in 0006,The single changeSet (create-user-setting including createIndex) is missing an explicit rollback section.,Add explicit rollback section.,open
DB-007,high,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0007_add_timezone_setting.yaml,1-21,liquibase/rollback,No rollback blocks on any changeSet in 0007,The seed insert for general.default_timezone has no rollback block.,Add rollback with a DELETE WHERE setting_key = 'general.default_timezone'.,open
DB-008,medium,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0001_initial_schema.yaml,69-75,postgres-patterns/index-foreign-keys,Foreign key plugin.namespace_id has no dedicated index,The plugin table has a FK column namespace_id referencing namespace(id). The FK itself does not create an index. While the unique constraint uq_plugin_namespace_plugin_id covers (namespace_id plugin_id) and therefore covers lookup by namespace_id as the leading column this is only true because namespace_id appears first. This coverage should be made explicit or confirmed.,Confirm that uq_plugin_namespace_plugin_id satisfies all namespace-scoped plugin queries. If so add a comment in the migration documenting this. If any query filters only on namespace_id without plugin_id verify index scan coverage via EXPLAIN ANALYZE.,fixed
DB-009,medium,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0001_initial_schema.yaml,148-155,postgres-patterns/index-foreign-keys,Foreign key plugin_release.plugin_id has no dedicated index,The plugin_release table references plugin(id) via FK fk_plugin_release_plugin. The unique constraint uq_plugin_release_plugin_version covers (plugin_id version) which covers lookup by plugin_id as leading column. Same caveat as DB-008.,Confirm uq_plugin_release_plugin_version covers plugin-scoped release queries. Add a comment. Validate with EXPLAIN ANALYZE for high-frequency queries.,fixed
DB-010,medium,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0002_user_and_rbac.yaml,82-89,postgres-patterns/index-foreign-keys,Foreign key namespace_member.namespace_id has no dedicated index,namespace_member.namespace_id is a FK with no standalone index. The unique constraint uq_namespace_member_ns_subject covers (namespace_id user_subject) so namespace-scoped member lookups are covered when namespace_id leads. Confirm this satisfies findAllByNamespaceId and existsByNamespaceIdAndUserSubjectAndRoleIn usage paths.,Verify with EXPLAIN ANALYZE. Add a comment to the migration. If ad-hoc queries filter on user_subject alone add a separate index on user_subject.,fixed
DB-011,medium,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0001_initial_schema.yaml,228-237,postgres-patterns/index-foreign-keys,Foreign key namespace_access_key.namespace_id has no dedicated index,namespace_access_key.namespace_id is a FK but the only index created is idx_access_key_prefix on key_prefix. findAllByNamespace and findAllByNamespaceAndRevokedFalse both filter by namespace_id and will do a sequential scan on the table without an index.,Add CREATE INDEX idx_namespace_access_key_namespace_id ON namespace_access_key(namespace_id);,fixed
DB-012,medium,database,plugwerk-server/plugwerk-server-backend/src/main/resources/db/changelog/migrations/0003_download_event.yaml,13-28,postgres-patterns/index-foreign-keys,download_event.release_id FK is indexed but downloaded_at composite index is missing,The single-column index on downloaded_at exists but there is no composite index on (release_id downloaded_at) which would benefit range queries like time-windowed download counts per release. At scale querying download_event by release filtered to a time range will use the release_id index but then filter downloaded_at in-memory.,Add index on (release_id downloaded_at DESC) to support time-windowed per-release queries efficiently.,open
