id,severity,scope,file,line,section_ref,title,description,recommendation,status
TS-001,high,frontend,plugwerk-server/plugwerk-server-frontend/src/stores/authStore.ts,69-70,rules/web/security.md#xss-prevention,JWT access token stored in localStorage,"The bearer access token (pw-access-token) and username are persisted to localStorage. Any XSS payload — from a third-party script, a future innerHTML sink, or a compromised dependency — can exfiltrate the token via localStorage.getItem and replay it from outside the origin.","Move the access token to an HttpOnly session cookie managed by the backend. If cookie-based auth is not feasible short-term, add token-binding checks server-side and document the residual risk.",fixed
TS-002,high,frontend,plugwerk-server/plugwerk-server-frontend/src/api/config.ts,41-46,rules/web/security.md#xss-prevention,Axios interceptor reads bearer token from localStorage on every request,"The shared axiosInstance interceptor reads pw-access-token from localStorage and attaches it as an Authorization header on all API calls. This is the same XSS-exfiltrable surface as TS-001 and means any future logging middleware would capture bearer tokens in plain text.","Align with the TS-001 fix: store the token in an in-memory variable and read it from there instead of localStorage.",fixed
TS-003,high,frontend,plugwerk-server/plugwerk-server-frontend/src/utils/downloadArtifact.ts,28-35,rules/web/security.md#xss-prevention,downloadArtifact attaches JWT to a caller-supplied URL without origin validation,"The function accepts an arbitrary url string and unconditionally attaches the bearer token retrieved from localStorage. If a caller passes a URL resolving to an attacker-controlled host the token is leaked cross-origin. Current callers pass relative paths but the type constraint is string with no enforcement.","Validate that url begins with a known same-origin prefix (e.g. /api/v1/) before attaching the Authorization header; throw or strip the header otherwise.",fixed
TS-004,medium,frontend,plugwerk-server/plugwerk-server-frontend/src/pages/LoginPage.tsx,29-55,rules/web/security.md,"Open redirect via under-validated from query parameter after login","After login the code computes safeFrom by rejecting paths that start with /namespaces/ but does not validate the value is a same-origin relative path. A crafted URL such as //evil.com passes the check; react-router navigate() normalises the double-slash and may redirect to an external origin in some browsers.","Validate that safeFrom starts with a single / and does not start with // before calling navigate(); otherwise fall back to /.",fixed
TS-005,medium,frontend,plugwerk-server/plugwerk-server-frontend/src/pages/CatalogPage.tsx,107-121,rules/web/patterns.md#state-management,Multiple useEffect hooks with missing dependency arrays in CatalogPage,"Three useEffect calls have incomplete dep arrays: fetchNamespaces() runs with [] (stale closure if function identity changes); the second effect omits setNamespace and fetchNamespaceRole; the third omits fetchPlugins and fetchTags. This silently skips re-runs when stable Zustand action references change.","Add all referenced callbacks to each dep array. Enable the exhaustive-deps ESLint rule project-wide to prevent recurrence.",fixed
TS-006,medium,frontend,plugwerk-server/plugwerk-server-frontend/src/pages/CatalogPage.tsx,116-121,rules/web/patterns.md#data-fetching,Concurrent setFilters + fetchPlugins in useEffect can produce stale-response races,"The third useEffect calls store.setFilters() synchronously and then awaits fetchPlugins(). If the component unmounts between those two calls or a second effect fires before the response resolves the store ends up in an inconsistent state and the late response overwrites a newer one.","Introduce an AbortController in the effect cleanup or derive filter state from URL search params so React Router handles re-fetching on navigation.",fixed
TS-007,medium,frontend,plugwerk-server/plugwerk-server-frontend/src/stores/pluginStore.ts,61-124,rules/web/patterns.md#state-management,pluginStore duplicates server-authoritative data without cache invalidation,"usePluginStore holds plugins, totalElements, totalPages, pendingReviewPluginCount, and availableTags — all server-derived data fetched imperatively with no TTL or invalidation logic. Any background navigation leaves the store showing stale data from a previous namespace without the user being aware.","Migrate catalog list fetching to a server-state library (TanStack Query or SWR) to get automatic stale-while-revalidate and per-query cancellation.",fixed
TS-008,medium,frontend,plugwerk-server/plugwerk-server-frontend/src/stores/namespaceStore.ts,35-52,rules/web/patterns.md#state-management,namespaceStore and authStore maintain overlapping namespace data with no shared invalidation,"namespaceStore fetches /namespaces and caches the list while authStore tracks the active namespace slug independently. The two stores have no coordinated invalidation; a namespace delete in NamespacesSection manually calls both stores methods creating a brittle coupling.","Consolidate namespace fetching into a single query layer or use a server-state library so all consumers subscribe to the same cache entry.",fixed
TS-009,medium,frontend,plugwerk-server/plugwerk-server-frontend/src/components/admin/NamespaceDetailView.tsx,63-82,rules/web/patterns.md#data-fetching,NamespaceDetailView fetches full namespace list to find one entry then discards the rest,"namespacesApi.listNamespaces() is called and the result array is searched for the slug matching the URL param. This wastes bandwidth proportional to namespace count and breaks if the API introduces server-side pagination.","Use a dedicated GET /namespaces/{slug} endpoint or pass the namespace data via a route loader from the parent page.",fixed
TS-010,medium,frontend,plugwerk-server/plugwerk-server-frontend/src/components/plugin-detail/ChangelogTab.tsx,73,rules/typescript/coding-style.md,Non-null assertion on optional rel.changelog after truthiness filter,"rel.changelog! is used inside a .map() block even though the preceding .filter(r => r.changelog) guarantees trueness. TypeScript does not narrow the type through a non-predicate filter so the assertion is redundant and will throw if the filter is ever relaxed.","Use a type-predicate filter or replace rel.changelog! with rel.changelog ?? .",fixed
